"Report generated on: 02-08-2021 21:25:26"
"Series Key",INTL.4415-1-USA-QBTU.A,"Series Key",INTL.4419-1-USA-QBTU.A
"Series Name","Total energy production from petroleum and other liquids, United States, Annual","Series Name","Total energy production from nuclear, renewables, and other, United States, Annual"
Units,QBTU,Units,QBTU
Frequency,A,Frequency,A




1980,20.474,1980,8.168
1981,20.412,1981,8.421
1982,20.458,1982,9.111
1983,20.528,1983,9.698
1984,21.082,1984,9.99
1985,21.196,1985,10.16
1986,20.489,1986,10.491
1987,19.854,1987,10.376
1988,19.51,1988,11.044
1989,18.24,1989,11.837
1990,17.709,1990,12.144
1991,17.966,1991,12.49
1992,17.545,1992,12.3
1993,16.861,1993,12.492
1994,16.452,1994,12.681
1995,16.285,1995,13.633
1996,16.203,1996,14.098
1997,16.103,1997,13.614
1998,15.607,1998,13.561
1999,14.924,1999,14.126
2000,14.91,2000,13.964
2001,14.772,2001,13.191
2002,14.662,2002,13.876
2003,14.256,2003,13.902
2004,13.958,2004,14.285
2005,13.254,2005,14.382
2006,13.065,2006,14.801
2007,13.09,2007,14.969
2008,12.973,2008,15.618
2009,13.848,2009,15.98
2010,14.315,2010,16.748
2011,14.888,2011,17.568
2012,17.004,2012,16.948
2013,19.316,2013,17.662
2014,22.612,2014,18.104
2015,24.188,2015,18.066
2016,23.202,2016,18.85
2017,24.563,2017,19.615
2018,28.562,2018,19.946
