"Report generated on: 02-08-2021 20:07:46"
"Series Key",INTL.2-2-USA-BKWH.A,"Series Key",INTL.2-12-USA-BKWH.A,"Series Key",INTL.27-12-USA-BKWH.A,"Series Key",INTL.28-12-USA-BKWH.A,"Series Key",INTL.29-12-USA-BKWH.A,"Series Key",INTL.33-12-USA-BKWH.A,"Series Key",INTL.34-12-USA-BKWH.A,"Series Key",INTL.35-12-USA-BKWH.A,"Series Key",INTL.36-12-USA-BKWH.A,"Series Key",INTL.37-12-USA-BKWH.A,"Series Key",INTL.38-12-USA-BKWH.A,"Series Key",INTL.82-12-USA-BKWH.A,"Series Key",INTL.116-12-USA-BKWH.A,"Series Key",INTL.117-12-USA-BKWH.A
"Series Name","Electricity net consumption, United States, Annual","Series Name","Electricity net generation, United States, Annual","Series Name","Nuclear electricity net generation, United States, Annual","Series Name","Fossil fuels electricity net generation, United States, Annual","Series Name","Renewable electricity net generation, United States, Annual","Series Name","Hydroelectricity net generation, United States, Annual","Series Name","Non-hydro renewable electricity net generation, United States, Annual","Series Name","Geothermal electricity net generation, United States, Annual","Series Name","Solar, tide, wave, fuel cell electricity net generation, United States, Annual","Series Name","Wind electricity net generation, United States, Annual","Series Name","Biomass and waste electricity net generation, United States, Annual","Series Name","Hydroelectric pumped storage electricity net generation, United States, Annual","Series Name","Solar electricity net generation, United States, Annual","Series Name","Tide and wave electricity net generation, United States, Annual"
Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH,Units,BKWH
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A




1980,2094,1980,2290,1980,251,1980,1754,1980,285,1980,279,1980,5.5,1980,5.1,1984,(s),1983,(s),1980,0.4,1990,-3.5,1984,(s),1984,0
1981,2147,1981,2298,1981,273,1981,1755,1981,270,1981,264,1981,6.1,1981,5.7,1985,(s),1984,(s),1981,0.4,1991,-4.5,1985,(s),1985,0
1982,2086,1982,2244,1982,283,1982,1644,1982,318,1982,312,1982,5.2,1982,4.8,1986,(s),1985,(s),1982,0.3,1992,-4.2,1986,(s),1986,0
1983,2151,1983,2313,1983,294,1983,1678,1983,342,1983,335,1983,6.5,1983,6.1,1987,(s),1986,(s),1983,0.4,1993,-4,1987,(s),1987,0
1984,2286,1984,2419,1984,328,1984,1759,1984,333,1984,324,1984,8.6,1984,7.7,1988,(s),1987,(s),1984,0.9,1994,-3.4,1988,(s),1988,0
1985,2324,1985,2473,1985,384,1985,1794,1985,295,1985,284,1985,11,1985,9.3,1989,0.3,1988,(s),1985,1.4,1995,-2.7,1989,0.3,1989,0
1986,2369,1986,2490,1986,414,1986,1771,1986,306,1986,294,1986,12,1986,10,1990,0.4,1989,2.1,1986,1.2,1996,-3.1,1990,0.4,1990,0
1987,2457,1987,2575,1987,455,1987,1855,1987,265,1987,253,1987,12,1987,11,1991,0.5,1990,2.8,1987,1.5,1997,-4,1991,0.5,1991,0
1988,2578,1988,2707,1988,527,1988,1942,1988,238,1988,226,1988,12,1988,10,1992,0.4,1991,3,1988,1.7,1998,-4.5,1992,0.4,1992,0
1989,2756,1989,2967,1989,529,1989,2109,1989,329,1989,272,1989,57,1989,15,1993,0.5,1992,2.9,1989,40,1999,-6.1,1993,0.5,1993,0
1990,2837,1990,3038,1990,577,1990,2104,1990,361,1990,293,1990,68,1990,15,1994,0.5,1993,3,1990,49,2000,-5.5,1994,0.5,1994,0
1991,2886,1991,3074,1991,613,1991,2103,1991,363,1991,289,1991,74,1991,16,1995,0.5,1994,3.4,1991,54,2001,-8.8,1995,0.5,1995,0
1992,2897,1992,3084,1992,619,1992,2139,1992,331,1992,253,1992,77,1992,16,1996,0.5,1995,3.2,1992,58,2002,-8.7,1996,0.5,1996,0
1993,3001,1993,3197,1993,610,1993,2231,1993,360,1993,280,1993,80,1993,17,1997,0.5,1996,3.2,1993,59,2003,-8.5,1997,0.5,1997,0
1994,3081,1994,3248,1994,640,1994,2270,1994,340,1994,260,1994,80,1994,16,1998,0.5,1997,3.3,1994,61,2004,-8.5,1998,0.5,1998,0
