Report generated on: 02-08-2021 20:06:33
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-USA-BKWH.A","    Generation (billion kWh)","2289.600363623","2297.973338026","2244.372487372","2313.44568568","2419.465366921","2473.002120447","2490.47095201","2575.287667189","2707.411178116","2967.146086909","3037.827337","3073.798885","3083.882204","3197.191096","3247.522388","3353.487362","3444.187621","3492.172283","3620.295498","3694.80981","3802.215539248","3736.777243184","3858.610597225","3883.37010431","3970.784321501","4055.766382693","4065.203410497","4157.452319714","4120.524995469","3951.859480295","4127.470567259","4103.966250506","4053.916263827","4074.095614964","4104.83866428","4091.74020645","4095.48735461","4058.26084175","4207.81661887","4161.83959166"
"INTL.27-12-USA-BKWH.A","        Nuclear (billion kWh)","251.115574603","272.673502665","282.773247888","293.677118693","327.633548542","383.690726829","414.038062921","455.270382261","526.973047497","529.354716909","576.861678","612.565087","618.776263","610.291214","640.439832","673.402123","674.728546","628.644171","673.702104","728.254124","753.89294","768.826308","780.064087","763.732695","788.528387","781.986365","787.218636","806.424753","806.208435","798.854585","806.96830056","790.204367","769.331249","789.016473","797.165982","797.177877","805.693948","804.949635","807.084477","809.409262"
"INTL.28-12-USA-BKWH.A","        Fossil fuels (billion kWh)","1753.796457247","1755.401179607","1644.061443214","1678.021330175","1758.882260895","1794.276362318","1770.924752444","1854.894663322","1942.353039476","2108.628943","2103.619665","2103.262931","2138.704811","2230.741008","2270.13258","2293.908429","2346.018207","2430.319913","2547.065197","2569.669781","2692.478478","2677.004755","2730.166177","2758.649956","2824.79805319","2909.52246072","2885.29512614","2992.23770665","2926.73133378","2726.45155497","2883.36131261","2788.86738039","2775.02424666","2745.96765678","2750.57295588","2727.24575395","2654.4678262","2536.13667914","2657.30838774","2581.70282234"
"INTL.29-12-USA-BKWH.A","        Renewables (billion kWh)","284.688331773","269.898655754","317.53779627","341.747236812","332.949557484","295.0350313","305.508136645","265.122621606","238.085091143","329.162427","360.853735","362.512302","330.577712","360.194446","340.327801","388.901941","426.528946","437.248104","403.995477","402.982804","361.382981248","299.769625184","357.123261225","369.52251831","365.946091311","370.815344953","399.247490357","365.686212064","393.873288689","431.180685325","442.642086089","531.315019126","514.511264167","543.792518184","563.2732744","572.4080635","642.01170741","723.66907561","749.32829313","775.98825132"
"INTL.33-12-USA-BKWH.A","            Hydroelectricity (billion kWh)","279.182089788","263.84466412","312.374012892","335.290855398","324.31136471","284.31053754","294.005219027","252.85609314","226.100803402","271.976936","292.865846","288.994189","253.088003","280.494008","260.125733","310.832748","347.162063","356.453295","323.335661","319.536029","275.572597","216.961045","264.328831","275.806323","268.41730841","270.32125499","289.24641574","247.50997438","254.83138516","273.44509422","260.20306942","319.35490351","276.2402234","268.56538281","259.36662193","249.0800849","267.81215313","300.33292968","292.52398882","287.8737305"
"INTL.34-12-USA-BKWH.A","            Non-hydroelectric renewables (billion kWh)","5.506241985","6.053991634","5.163783378","6.456381414","8.638192774","10.72449376","11.502917618","12.266528466","11.984287741","57.185491","67.987889","73.518113","77.489709","79.700438","80.202068","78.069193","79.366883","80.794809","80.659816","83.446775","85.810384248","82.808580184","92.794430225","93.71619531","97.528782901","100.494089963","110.001074617","118.176237684","139.041903529","157.735591105","182.439016669","211.960115616","238.271040767","275.227135374","303.90665247","323.3279786","374.19955428","423.33614593","456.80430431","488.11452082"
"INTL.35-12-USA-BKWH.A","                Geothermal (billion kWh)","5.073079416","5.686162688","4.842864896","6.075101212","7.74050396","9.325230178","10.307954378","10.775461111","10.300078871","14.593443","15.434271","15.966444","16.137962","16.788565","15.535453","13.378258","14.328684","14.726102","14.773918","14.827013","14.093158","13.740501","14.49131","14.424231","14.81097455","14.69174521","14.568029","14.63721302","14.83997656","15.00865802","15.21921314","15.316068","15.56242562","15.77467411","15.87694102","15.91757501","15.82580702","15.92677424","15.96713402","15.47271701"
"INTL.36-12-USA-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","","","","","0.005247924","0.010630157","0.014031952","0.01049706","0.00909415","0.250601","0.367087","0.471765","0.39964","0.462452","0.486622","0.496821","0.521205","0.511168","0.502473","0.495082","0.603871248","0.676349154","0.713182165","0.7189013","0.804213001","0.893927073","1.008888787","1.319388224","2.001550289","2.419732585","3.622849359","5.643019386","10.477679557","17.167167284","28.92368993","39.03217093","54.86649177","77.27714762","93.36458912","106.89426952"
"INTL.117-12-USA-BKWH.A","                    Tide and wave (billion kWh)","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.116-12-USA-BKWH.A","                    Solar (billion kWh)","","","","","0.005247924","0.010630157","0.014031952","0.01049706","0.00909415","0.250601","0.367087","0.471765","0.39964","0.462452","0.486622","0.496821","0.521205","0.511168","0.502473","0.495082","0.603871248","0.676349154","0.713182165","0.7189013","0.804213001","0.893927073","1.008888787","1.319388224","2.001550289","2.419732585","3.622849359","5.643019386","10.477679557","17.167167284","28.92368993","39.03217093","54.86649177","77.27714762","93.36458912","106.89426952"
"INTL.37-12-USA-BKWH.A","                Wind (billion kWh)","","","","0.002667962","0.006490252","0.005761883","0.00418872","0.003541414","0.000871014","2.112043","2.7886","2.950951","2.887523","3.005827","3.447109","3.164253","3.234069","3.288035","3.025696","4.487998","5.593261","6.737331","10.35428","11.187466","14.14374072","17.81054905","26.58913699","34.44992743","55.36310008","73.88613174","94.65224612","120.17659867","140.82170289","167.83974546","181.65528186","190.71854778","226.99256216","254.30269524","272.66745373","294.90631987"
"INTL.38-12-USA-BKWH.A","                Biomass and waste (billion kWh)","0.433162569","0.367828946","0.320918482","0.37861224","0.885950638","1.382871542","1.176742568","1.477028881","1.674243706","40.229404","49.397931","54.128953","58.064584","59.443594","60.732884","61.029861","61.282925","62.269504","62.357729","63.636682","65.520094","61.65439903","67.23565806","67.38559701","67.76985463","67.09786863","67.83501984","67.76970901","66.8372766","66.42106876","68.94470805","70.82442956","71.4092327","74.44554852","77.45073966","77.65968488","76.51469333","75.82952883","74.80512744","70.84121442"
"INTL.82-12-USA-BKWH.A","        Hydroelectric pumped storage (billion kWh)","","","","","","","","","","","-3.507741","-4.541435","-4.176582","-4.035572","-3.377825","-2.725131","-3.088078","-4.039905","-4.46728","-6.096899","-5.53886","-8.823445","-8.742928","-8.535065","-8.48821","-6.55778798","-6.557842","-6.896352","-6.288062","-4.627345","-5.501132","-6.42051601","-4.950496","-4.681033","-6.173548","-5.091488","-6.686127","-6.494548","-5.904539","-5.260744"
"INTL.2-2-USA-BKWH.A","    Consumption (billion kWh)","2094.449","2147.102862","2086.441352","2150.954584","2285.796394","2323.973852","2368.753052","2457.272219","2578.062495","2755.635152928","2837.083605414","2886.060218593","2897.206690279","3000.700217118","3080.888197836","3163.963129009","3253.765040501","3301.849323457","3425.09663504","3483.7163654","3592.467273064","3557.240313155","3631.808658145","3662.2139123","3716.178542876","3811.327676743","3817.346634732","3890.938492245","3867.298539639","3725.261645055","3889.162284999","3886.425540458","3838.457299907","3876.461304854","3914.50680973","3914.29917567","3921.11839744","3888.460509609","4032.838344432","3989.56639935"
